,ts_code,trade_time,close,open,high,low,vol,amount
0,600000.SH,2025-03-21 15:00:00,10.47,10.47,10.47,10.47,3356800.0,35145696.0
1,600000.SH,2025-03-21 14:59:00,10.44,10.44,10.44,10.44,0.0,0.0
2,600000.SH,2025-03-21 14:58:00,10.44,10.44,10.44,10.44,9800.0,102382.0
3,600000.SH,2025-03-21 14:57:00,10.45,10.45,10.45,10.44,487500.0,5091717.0
4,600000.SH,2025-03-21 14:56:00,10.44,10.44,10.45,10.44,193100.0,2017274.0
5,600000.SH,2025-03-21 14:55:00,10.44,10.45,10.45,10.44,221600.0,2314809.0
6,600000.SH,2025-03-21 14:54:00,10.44,10.44,10.45,10.44,309200.0,3229691.0
7,600000.SH,2025-03-21 14:53:00,10.44,10.44,10.44,10.43,342329.0,3573517.0
8,600000.SH,2025-03-21 14:52:00,10.44,10.43,10.44,10.43,285000.0,2974934.0
9,600000.SH,2025-03-21 14:51:00,10.44,10.44,10.44,10.43,385413.0,4022822.0
10,600000.SH,2025-03-21 14:50:00,10.43,10.44,10.44,10.43,498000.0,5196276.0
11,600000.SH,2025-03-21 14:49:00,10.43,10.42,10.43,10.42,323800.0,3376557.0
12,600000.SH,2025-03-21 14:48:00,10.42,10.43,10.44,10.42,359898.0,3754057.0
13,600000.SH,2025-03-21 14:47:00,10.43,10.43,10.44,10.43,173200.0,1807791.0
14,600000.SH,2025-03-21 14:46:00,10.43,10.44,10.45,10.43,214390.0,2238102.0
15,600000.SH,2025-03-21 14:45:00,10.45,10.43,10.45,10.43,293700.0,3065919.0
16,600000.SH,2025-03-21 14:44:00,10.43,10.43,10.44,10.43,157500.0,1643857.0
17,600000.SH,2025-03-21 14:43:00,10.43,10.43,10.44,10.43,208700.0,2177048.0
18,600000.SH,2025-03-21 14:42:00,10.43,10.43,10.44,10.42,488950.0,5099489.0
19,600000.SH,2025-03-21 14:41:00,10.43,10.43,10.44,10.43,125900.0,1313420.0
20,600000.SH,2025-03-21 14:40:00,10.43,10.43,10.44,10.43,145000.0,1512850.0
21,600000.SH,2025-03-21 14:39:00,10.43,10.44,10.44,10.43,152100.0,1587153.0
22,600000.SH,2025-03-21 14:38:00,10.44,10.44,10.45,10.43,411800.0,4298881.0
23,600000.SH,2025-03-21 14:37:00,10.44,10.43,10.44,10.43,398700.0,4161695.0
24,600000.SH,2025-03-21 14:36:00,10.43,10.43,10.44,10.43,151650.0,1581907.0
25,600000.SH,2025-03-21 14:35:00,10.43,10.43,10.44,10.43,182700.0,1905821.0
26,600000.SH,2025-03-21 14:34:00,10.44,10.44,10.45,10.43,298000.0,3110366.0
27,600000.SH,2025-03-21 14:33:00,10.44,10.45,10.45,10.43,365700.0,3818702.0
28,600000.SH,2025-03-21 14:32:00,10.45,10.45,10.46,10.45,108300.0,1131916.0
29,600000.SH,2025-03-21 14:31:00,10.45,10.45,10.46,10.44,255400.0,2669268.0
30,600000.SH,2025-03-21 14:30:00,10.44,10.45,10.45,10.44,88700.0,926378.0
31,600000.SH,2025-03-21 14:29:00,10.44,10.44,10.45,10.44,49900.0,521161.0
32,600000.SH,2025-03-21 14:28:00,10.44,10.45,10.45,10.44,142400.0,1487178.0
33,600000.SH,2025-03-21 14:27:00,10.44,10.44,10.44,10.43,170200.0,1776217.0
34,600000.SH,2025-03-21 14:26:00,10.44,10.43,10.45,10.43,338000.0,3529213.0
35,600000.SH,2025-03-21 14:25:00,10.44,10.43,10.44,10.43,180500.0,1883102.0
36,600000.SH,2025-03-21 14:24:00,10.44,10.44,10.45,10.43,211000.0,2201791.0
37,600000.SH,2025-03-21 14:23:00,10.44,10.44,10.45,10.44,70100.0,731997.0
38,600000.SH,2025-03-21 14:22:00,10.44,10.45,10.45,10.44,29600.0,309247.0
39,600000.SH,2025-03-21 14:21:00,10.45,10.44,10.45,10.43,344500.0,3595946.0
40,600000.SH,2025-03-21 14:20:00,10.43,10.44,10.44,10.43,33300.0,347377.0
41,600000.SH,2025-03-21 14:19:00,10.43,10.43,10.44,10.42,534800.0,5578859.0
42,600000.SH,2025-03-21 14:18:00,10.43,10.42,10.43,10.42,100600.0,1048549.0
43,600000.SH,2025-03-21 14:17:00,10.42,10.42,10.43,10.42,89200.0,929626.0
44,600000.SH,2025-03-21 14:16:00,10.42,10.43,10.43,10.42,123000.0,1281852.0
45,600000.SH,2025-03-21 14:15:00,10.43,10.43,10.43,10.42,155600.0,1622362.0
46,600000.SH,2025-03-21 14:14:00,10.42,10.43,10.44,10.42,191600.0,1997843.0
47,600000.SH,2025-03-21 14:13:00,10.43,10.43,10.44,10.43,77600.0,809395.0
48,600000.SH,2025-03-21 14:12:00,10.44,10.43,10.44,10.43,182500.0,1903516.0
49,600000.SH,2025-03-21 14:11:00,10.43,10.44,10.45,10.43,217100.0,2266446.0
50,600000.SH,2025-03-21 14:10:00,10.43,10.44,10.44,10.42,258500.0,2697536.0
51,600000.SH,2025-03-21 14:09:00,10.43,10.44,10.44,10.43,116800.0,1218813.0
52,600000.SH,2025-03-21 14:08:00,10.44,10.45,10.45,10.43,180800.0,1887539.0
53,600000.SH,2025-03-21 14:07:00,10.44,10.43,10.45,10.42,402200.0,4199303.0
54,600000.SH,2025-03-21 14:06:00,10.42,10.42,10.43,10.42,280100.0,2919517.0
55,600000.SH,2025-03-21 14:05:00,10.43,10.42,10.43,10.42,122875.0,1281273.0
56,600000.SH,2025-03-21 14:04:00,10.42,10.43,10.43,10.42,80300.0,837009.0
57,600000.SH,2025-03-21 14:03:00,10.43,10.43,10.43,10.42,341300.0,3559238.0
58,600000.SH,2025-03-21 14:02:00,10.42,10.43,10.43,10.41,207938.0,2166843.0
59,600000.SH,2025-03-21 14:01:00,10.43,10.43,10.43,10.42,389500.0,4061405.0
60,600000.SH,2025-03-21 14:00:00,10.43,10.44,10.44,10.42,143900.0,1500952.0
61,600000.SH,2025-03-21 13:59:00,10.43,10.44,10.45,10.43,160600.0,1676560.0
62,600000.SH,2025-03-21 13:58:00,10.44,10.45,10.45,10.44,163400.0,1706159.0
63,600000.SH,2025-03-21 13:57:00,10.44,10.44,10.45,10.43,251300.0,2623837.0
64,600000.SH,2025-03-21 13:56:00,10.44,10.45,10.45,10.44,110000.0,1149264.0
65,600000.SH,2025-03-21 13:55:00,10.46,10.46,10.46,10.45,139000.0,1453736.0
66,600000.SH,2025-03-21 13:54:00,10.46,10.46,10.46,10.45,115300.0,1205541.0
67,600000.SH,2025-03-21 13:53:00,10.46,10.46,10.47,10.46,65100.0,680980.0
68,600000.SH,2025-03-21 13:52:00,10.46,10.47,10.47,10.46,56600.0,592482.0
69,600000.SH,2025-03-21 13:51:00,10.48,10.46,10.48,10.46,305882.0,3201437.0
70,600000.SH,2025-03-21 13:50:00,10.46,10.46,10.46,10.45,291900.0,3052156.0
71,600000.SH,2025-03-21 13:49:00,10.47,10.46,10.47,10.46,120700.0,1262924.0
72,600000.SH,2025-03-21 13:48:00,10.46,10.47,10.48,10.46,197200.0,2064574.0
73,600000.SH,2025-03-21 13:47:00,10.47,10.47,10.48,10.47,189500.0,1984269.0
74,600000.SH,2025-03-21 13:46:00,10.47,10.47,10.48,10.47,126100.0,1320854.0
75,600000.SH,2025-03-21 13:45:00,10.47,10.47,10.48,10.47,59300.0,621082.0
76,600000.SH,2025-03-21 13:44:00,10.47,10.48,10.49,10.47,124300.0,1302369.0
77,600000.SH,2025-03-21 13:43:00,10.48,10.48,10.49,10.48,106900.0,1120366.0
78,600000.SH,2025-03-21 13:42:00,10.48,10.49,10.5,10.48,195600.0,2051530.0
79,600000.SH,2025-03-21 13:41:00,10.49,10.49,10.5,10.49,276500.0,2900621.0
80,600000.SH,2025-03-21 13:40:00,10.49,10.5,10.5,10.49,354200.0,3717478.0
81,600000.SH,2025-03-21 13:39:00,10.5,10.5,10.51,10.5,111000.0,1165620.0
82,600000.SH,2025-03-21 13:38:00,10.51,10.52,10.52,10.5,194300.0,2041553.0
83,600000.SH,2025-03-21 13:37:00,10.51,10.51,10.51,10.51,88100.0,926062.0
84,600000.SH,2025-03-21 13:36:00,10.52,10.51,10.53,10.51,234100.0,2462508.0
85,600000.SH,2025-03-21 13:35:00,10.51,10.53,10.53,10.51,143500.0,1509756.0
86,600000.SH,2025-03-21 13:34:00,10.53,10.5,10.53,10.5,256800.0,2700255.0
87,600000.SH,2025-03-21 13:33:00,10.51,10.5,10.51,10.5,85700.0,900205.0
88,600000.SH,2025-03-21 13:32:00,10.5,10.51,10.51,10.5,65100.0,683895.0
89,600000.SH,2025-03-21 13:31:00,10.51,10.51,10.51,10.5,106000.0,1113564.0
90,600000.SH,2025-03-21 13:30:00,10.5,10.51,10.52,10.5,116800.0,1227593.0
91,600000.SH,2025-03-21 13:29:00,10.51,10.52,10.52,10.51,20900.0,219767.0
92,600000.SH,2025-03-21 13:28:00,10.52,10.52,10.52,10.51,193800.0,2037733.0
93,600000.SH,2025-03-21 13:27:00,10.52,10.51,10.52,10.5,221300.0,2325949.0
94,600000.SH,2025-03-21 13:26:00,10.5,10.51,10.51,10.5,133500.0,1401943.0
95,600000.SH,2025-03-21 13:25:00,10.51,10.51,10.51,10.5,255600.0,2686302.0
96,600000.SH,2025-03-21 13:24:00,10.51,10.51,10.52,10.51,235100.0,2471227.0
97,600000.SH,2025-03-21 13:23:00,10.51,10.51,10.52,10.51,26700.0,280732.0
98,600000.SH,2025-03-21 13:22:00,10.52,10.52,10.52,10.51,64700.0,680478.0
99,600000.SH,2025-03-21 13:21:00,10.52,10.5,10.52,10.5,385700.0,4054562.0
100,600000.SH,2025-03-21 13:20:00,10.5,10.5,10.51,10.5,284800.0,2990543.0
101,600000.SH,2025-03-21 13:19:00,10.51,10.5,10.51,10.5,74600.0,783405.0
102,600000.SH,2025-03-21 13:18:00,10.5,10.5,10.51,10.5,70700.0,742605.0
